Site address,Owner/Developer,Tenure type,Site capacity,Site status,Year 24/25,Year 25/26,Year 26/27,Year 27/28
"Murraygate, 11-23",Hillcrest Ha,RSL,31,Under Construction,31,0,0,0
Liff Hospital,Miller Homes,Private,54,Site Complete,0,0,0,0
Pitkerro Mill,Dewlor Developments,Private,2,Site Complete,0,0,0,0
"Kingsway East, Former Stewart House",Persimmon Homes,Private,71,Under Construction,36,35,0,0
"Buttars Loan, Site To The East",Green Pads Ltd,Private,8,Under Construction,4,4,0,0
"Rockfield Crescent, 7, Land To North",Private,Private,1,Planning Consent,0,0,0,0
Summerfield Gardens North,Invertay Homes,Private,43,Site Complete,0,0,0,0
"East School Road, Downfield House",Aberkell Developments,Private,14,Under Construction,10,0,0,0
"Dock Street, Harbour Chambers / Customs House",Alicydon Ltd,Private,49,Under Construction,0,0,0,20
"Constable Street, Lower Dens Works, Block G",Stables Development Llp,Private,24,Consent Expired,0,24,0,0
"Brown Street, 75/77, Broughty Ferry",Private,Private,2,Planning Consent,0,0,0,0
"Victoria Road, 10,G1 Victoria Chambers",Tayside Property Management,Private,1,Under Construction,0,0,0,0
"Murraygate, 39, 1/0",Casa Fresa Holdings Llp,Private,3,Under Construction,0,0,0,0
"Hilltown, 245",Private,Private,1,Consent Expired,0,0,0,0
"Commercial Street, 84, 2/1",Cardross Estates,Private,1,Consent Expired,0,0,0,0
"Pitkerro Road, 114-116, Land At",Angus Ha,RSL,21,Under Construction,21,0,0,0
"Caenlochan Road, 4",Private,Private,1,Under Construction,0,0,0,0
"Murrayfield Place, Murrayfield Drive, Whitfield Avenue",Dundee City Council,Local Authority,42,Planning Consent,0,22,20,0
"West Bell Street, 1A",Private,Private,3,Consent Expired,0,0,0,0
"Tannadice Street - 28-30, Court Street - 32",Arb Properties,Private,7,Consent Expired,0,0,7,0
"Dalkeith Road, 69",Marvend Ltd,Private,4,Under Construction,0,4,0,0
"Douglas Terrace, 12",Private,Private,1,Site Complete,0,0,0,0
"Dalkeith Road, 57",Private,Private,8,Planning Consent,0,8,0,0
"Liff Place, Brownhill Place. Sites 1 & 2",Blackwood Homes & Care,RSL,23,Under Construction,10,13,0,0
"Gourdie Place, Gourdie Crescent, Land At. Sites 3 & 4",Blackwood Homes & Care,RSL,22,Under Construction,10,12,0,0
"Buttars Road, Land To South. Sites 5 & 6",Blackwood Homes & Care,RSL,9,Under Construction,9,0,0,0
"Pitkerro Road, North Of, Longhaugh Road, East Of",Longhaugh Developments Ltd,Private,14,Under Construction,2,0,0,0
"Monifieth Road, 69, Stonelee Guest House",Private,Private,1,Under Construction,0,0,0,0
"Victoria Road, 1, Broughty Ferry",Private,Private,3,Consent Expired,0,0,0,0
"Albany Road, 39A",Private,Private,2,Site Complete,0,0,0,0
"Gellatly Street, 3",Mcgill (Dock Street) Ltd,Private,49,Under Construction,0,49,0,0
Pitkerro Mill,A&G Properties,Private,2,Under Construction,0,0,0,0
"Symers Street, Land To East Of 6",Private,Private,1,Planning Consent,0,0,0,0
"Fairfield Road, 10",West Developments (Scotland) Ltd,Private,4,Under Construction,4,0,0,0
"Fairfield Road, 10",West Developments (Scotland) Ltd,Private,2,Site Complete,0,0,0,0
"Adelaide Place, Bowling Green, Land To West",Private,Private,1,Planning Consent,0,0,0,0
"Erskine Street, 20",Private,Private,1,Consent Expired,0,0,0,0
"Albany Road, 50, Garden Ground To South",Private,Private,1,Planning Consent,0,0,0,0
"Springhill, 13",Private,Private,1,Under Construction,0,0,0,0
"Dudhope Terrace, 9",Private,Private,1,Under Construction,0,0,0,0
"Nethergate, 138, Basement",Private,Private,1,Under Construction,0,0,0,0
"Soapwork Lane, Soapwork Lane House",Hillcrest Ha,RSL,15,Site Complete,0,0,0,0
"Americanmuir Road, 38, Garden Ground",Private,Private,1,Planning Consent,0,0,0,0
"Dykes Of Gray, Braeside",Private,Private,1,Site Complete,0,0,0,0
"North Grange Farm, Land To East Of Farmhouse",Private,Private,1,Site Complete,0,0,0,0
"Springfield, 8, G/0",Private,Private,2,Planning Consent,0,0,0,0
"Frederick Street, 45, Garden Ground",Private,Private,1,Planning Consent,0,0,0,0
"North Street, 40",Private,Private,1,Planning Consent,0,0,0,0
"Reform Street, 51, Mf Space",Private,Private,4,Planning Consent,4,0,0,0
"Reform Street, 51, 2/2, Cafe",Private,Private,1,Planning Consent,0,0,0,0
"Southampton Road, Former Craigie House, Land At",Dundee City Council,Local Authority,1,Site Complete,0,0,0,0
"Strathern Road, 140",Private,Private,1,Planning Consent,0,0,0,0
"Balgowan Drive, 7",Private,Private,1,Planning Consent,0,0,0,0
"South Tay Street, 28, Ground & Basement",Rd Developments Ltd,Private,2,Site Complete,0,0,0,0
"Coupar Angus Road, 40, Site Of Former Hotel",Redwood Birkhill Limited,RSL,18,Under Construction,18,0,0,0
"Perth Road, 329, Fernbrae Hospital",S1 West Ltd,Private,22,Planning Consent,0,10,12,0
"Balgillo Road, 157, Land South",Private,Private,1,Planning Consent,0,0,0,0
Tranent Grove,Discovery Homes Ltd,Private,17,Planning Consent,0,17,0,0
"Brownhill Place, Brownhill Street. Site 7",Blackwood Homes & Care,RSL,12,Under Construction,12,0,0,0
Land At Former Tay Rope Works Magdalen Yard Road,F & H Developments,Private,9,Under Construction,9,0,0,0
Land To East Of 247 Blackness Road,Dundee City Council,RSL,24,Planning Consent,0,12,12,0
Site Of Former Factory Ballindean Road,Cullross Ltd/Caledonia Ha/Boc Ltd,Mixed,67,Under Construction,55,12,0,0
"Nicoll Street, 6",Private,Private,10,Planning Consent,0,10,0,0
Site Of Former James Keiller Buildings 32 - 34 Mains Loan,Barratt North Scotland/Marketgait Developments,Private,223,Under Construction,52,52,52,40
"Burnside Street, 55",Hillcrest Ha,RSL,54,Planning Consent,0,0,54,0
Land At Former Rosebank Primary School,Discovery Homes Ltd,TBC,40,Under Construction,16,16,0,0
"Forthill Road, 10",Private,Private,1,Planning Consent,0,0,0,0
"Buchanan Street, Electric Sub-Station",Private,TBC,14,Site Complete,0,0,14,0
