OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year_2digit,Year
98,04/02,The Arboetum,Tom Mcdonald Avenue,Dundee,F6A03852-C66A-4512-A4C2-Ef0Ea4Fe038A,2,2002
99,03/07,Lodges,Hill Street,Broughty Ferry,A885Bf3D-7D07-4C07-958D-06Dbb9Cdaaab,7,2007
100,09/07,22 Foggylea Gardens,Dundee,Dd2 3Lf,D5Fe7684-2929-46D7-A5Ce-A50A62C7Adc7,7,2007
101,14/07,Tayside Primary Care Nhs Trust,Dudhope House,15 & 19 Dudhope Terrace,18A38D9D-5176-4Dec-B5Ab-25F30053Ec28,7,2007
102,16/08,Darkfalls,1A Castleroy Road,Broughty Ferry,96354F4C-0Aa7-4Ac2-9942-8B08C5Dbd3A7,8,2008
103,08/08,Land To West Of Shepherds Loan,And South Of Perth Road,Dundee,Cc2C17E4-66Aa-409A-9F75-700Cd6627A5F,8,2008
104,04/09,Suilven,7 Castleroy Road,Broughty Ferry,2080A3C6-Cc95-426C-B843-Ec2422A55Bc8,9,2009
105,01/10,Rowanbank,Drumgeith Road,Dundee,Aa3E9783-22A5-4E75-B3D2-6A76421B56D8,10,2010
106,06/10,Forebank House,2 Eadies Road,Dundee,C9908245-8Edf-4Fea-9D85-22F4A6B4Cf46,10,2010
107,01/09,Tree Tops,5 Castleroy Road,Broughty Ferry,2087C586-7599-49A5-9813-1477E4Ca0Ffe,9,2009
108,11/08,89 Dundee Road,Broughty Ferry,Dundee,135B38Cd-Bbba-4B42-Bc91-E427Ca73317D,8,2008
109,06/08,Land East Of Foggyley Gardens,Foggyley Gardens,Dundee,606F4288-50Ab-49A5-85E9-5A7B8Db1E30C,8,2008
110,05/10,45 Seafield Road,Broughty Ferry,Dundee,5B1Ccede-7A53-4Df2-B4B1-420D766C28Fa,10,2010
111,06/03,Liff Hospital Grounds,Liff,Dundee,C5Fe0Adb-De58-4Dc6-99Ab-65995E4Cda9A,3,2003
112,01/04,Shiell Street 2,Broughty Ferry,Dundee,1Bc6E134-4101-4Fc7-80D5-5264C4453470,4,2004
113,06/04,Montpelier Gardens,Dundee,Dundee,3Af17198-69Cf-40B3-81F1-D806Edabfdaa,4,2004
114,03/05,Armistead House,94 Monifieth Road,Dundee,19664578-Ed9C-40D1-A52B-13B62Af1204B,5,2005
115,11/05,Clement Park Nursing Home,Clement Park Place,Dundee,C59A2D58-B286-48Ea-8A29-Dbce90Bee9A9,5,2005
116,12/05,Druburgh Gardens,Lochee,Dundee,A93Eb3Ac-07Da-4322-96C1-3Cdbe27B4E6F,5,2005
117,03/06,10 West Grove Avenue,Dundee,Dundee,9F8977C0-3D91-405B-9A76-42649494Ffff,6,2006
118,07/06,North Lodge,4 Grosvenor Road,Dundee,Beddbd45-16Bf-49Ef-833D-39B74Fec09E2,6,2006
119,06/07,Land At,Panmurerfield Den,Panmurefield,C14Bc77C-30Fa-486C-804F-0C7A04C7F5D6,7,2007
120,12/07,Land At Riverside Avenue,Dundee,Dundee,05Ec9145-1C1C-4E84-94Ff-226Ace3B4Baa,7,2007
121,05/08,Dudhope Gardens,Dundee,Dundee,24479061-0E4F-48E2-A837-E922Bd818B8F,8,2008
122,14/08,Ravenscraig Gardens,Broughty Ferry,Dundee,3Ffccd6D-858B-4702-Ab4D-Ce703F49De7E,8,2008
123,15/08,Flemmings Gymnasium,61 Smalls Wynd,University Of Dundee,0824693C-D6F6-4Fd9-9C11-26B601126F3A,8,2008
124,07/09,Redholme,Gardyne Road,Dundee,44756C4A-8831-4742-Ab88-Ba6809514B06,9,2009
125,02/10,Fintry Nursery School,Fintry Road,Dundee,Cf4C7D55-E61E-46Ca-9487-D9C8E8C6083D,10,2010
126,07/10,Avrom House,23 Seafield Road,Broughty Ferry,Ae02B164-99De-43Cc-95D0-0Dc9E5C31954,10,2010
127,08/10,Holly Road,Broughty Ferry,Dundee,Fb2C0517-D726-4Fe4-Aa92-86D21021Eeb9,10,2010
128,09/10,Invermark Terrace,Barnhill,Dundee,F70644C9-2261-4741-8Aed-1C59141D9A0D,10,2010
129,10/10,Bonspiel Gardens,Broughty Ferry,Dd5 2Lh,470E7345-876E-4Bd8-9490-C30B58827A68,10,2010
130,01/11,114 Camphill Road,Broughty Ferry,Dundee,237C52Ae-Dd28-467D-A55A-913Ba0B3543B,11,2011
