Site address,Site status,Owner/Developer,Tenure type,Site capacity,Year 24/25,Year 25/26,Year 26/27,Year 27/28
"Murraygate, 11-23",Under Construction,Hillcrest Ha,RSL,31,31,0,0,0
Liff Hospital,Site Complete,Miller Homes,Private,54,0,0,0,0
Pitkerro Mill,Site Complete,Dewlor Developments,Private,2,0,0,0,0
"Kingsway East, Former Stewart House",Under Construction,Persimmon Homes,Private,71,36,35,0,0
"Buttars Loan, Site To The East",Under Construction,Green Pads Ltd,Private,8,4,4,0,0
"Rockfield Crescent, 7, Land To North",Planning Consent,Private,Private,1,0,0,0,0
Summerfield Gardens North,Site Complete,Invertay Homes,Private,43,0,0,0,0
"East School Road, Downfield House",Under Construction,Aberkell Developments,Private,14,10,0,0,0
"Dock Street, Harbour Chambers / Customs House",Under Construction,Alicydon Ltd,Private,49,0,0,0,20
"Constable Street, Lower Dens Works, Block G",Consent Expired,Stables Development Llp,Private,24,0,24,0,0
"Brown Street, 75/77, Broughty Ferry",Planning Consent,Private,Private,2,0,0,0,0
"Victoria Road, 10,G1 Victoria Chambers",Under Construction,Tayside Property Management,Private,1,0,0,0,0
"Murraygate, 39, 1/0",Under Construction,Casa Fresa Holdings Llp,Private,3,0,0,0,0
"Hilltown, 245",Consent Expired,Private,Private,1,0,0,0,0
"Commercial Street, 84, 2/1",Consent Expired,Cardross Estates,Private,1,0,0,0,0
"Pitkerro Road, 114-116, Land At",Under Construction,Angus Ha,RSL,21,21,0,0,0
"Caenlochan Road, 4",Under Construction,Private,Private,1,0,0,0,0
"Murrayfield Place, Murrayfield Drive, Whitfield Avenue",Planning Consent,Dundee City Council,Local Authority,42,0,22,20,0
"West Bell Street, 1A",Consent Expired,Private,Private,3,0,0,0,0
"Tannadice Street - 28-30, Court Street - 32",Consent Expired,Arb Properties,Private,7,0,0,7,0
"Dalkeith Road, 69",Under Construction,Marvend Ltd,Private,4,0,4,0,0
"Douglas Terrace, 12",Site Complete,Private,Private,1,0,0,0,0
"Dalkeith Road, 57",Planning Consent,Private,Private,8,0,8,0,0
"Liff Place, Brownhill Place. Sites 1 & 2",Under Construction,Blackwood Homes & Care,RSL,23,10,13,0,0
"Gourdie Place, Gourdie Crescent, Land At. Sites 3 & 4",Under Construction,Blackwood Homes & Care,RSL,22,10,12,0,0
"Buttars Road, Land To South. Sites 5 & 6",Under Construction,Blackwood Homes & Care,RSL,9,9,0,0,0
"Pitkerro Road, North Of, Longhaugh Road, East Of",Under Construction,Longhaugh Developments Ltd,Private,14,2,0,0,0
"Monifieth Road, 69, Stonelee Guest House",Under Construction,Private,Private,1,0,0,0,0
"Victoria Road, 1, Broughty Ferry",Consent Expired,Private,Private,3,0,0,0,0
"Albany Road, 39A",Site Complete,Private,Private,2,0,0,0,0
"Gellatly Street, 3",Under Construction,Mcgill (Dock Street) Ltd,Private,49,0,49,0,0
Pitkerro Mill,Under Construction,A&G Properties,Private,2,0,0,0,0
"Symers Street, Land To East Of 6",Planning Consent,Private,Private,1,0,0,0,0
"Fairfield Road, 10",Under Construction,West Developments (Scotland) Ltd,Private,4,4,0,0,0
"Fairfield Road, 10",Site Complete,West Developments (Scotland) Ltd,Private,2,0,0,0,0
"Adelaide Place, Bowling Green, Land To West",Planning Consent,Private,Private,1,0,0,0,0
"Erskine Street, 20",Consent Expired,Private,Private,1,0,0,0,0
"Albany Road, 50, Garden Ground To South",Planning Consent,Private,Private,1,0,0,0,0
"Springhill, 13",Under Construction,Private,Private,1,0,0,0,0
"Dudhope Terrace, 9",Under Construction,Private,Private,1,0,0,0,0
"Nethergate, 138, Basement",Under Construction,Private,Private,1,0,0,0,0
"Soapwork Lane, Soapwork Lane House",Site Complete,Hillcrest Ha,RSL,15,0,0,0,0
"Americanmuir Road, 38, Garden Ground",Planning Consent,Private,Private,1,0,0,0,0
"Dykes Of Gray, Braeside",Site Complete,Private,Private,1,0,0,0,0
"North Grange Farm, Land To East Of Farmhouse",Site Complete,Private,Private,1,0,0,0,0
"Springfield, 8, G/0",Planning Consent,Private,Private,2,0,0,0,0
"Frederick Street, 45, Garden Ground",Planning Consent,Private,Private,1,0,0,0,0
"North Street, 40",Planning Consent,Private,Private,1,0,0,0,0
"Reform Street, 51, Mf Space",Planning Consent,Private,Private,4,4,0,0,0
"Reform Street, 51, 2/2, Cafe",Planning Consent,Private,Private,1,0,0,0,0
"Southampton Road, Former Craigie House, Land At",Site Complete,Dundee City Council,Local Authority,1,0,0,0,0
"Strathern Road, 140",Planning Consent,Private,Private,1,0,0,0,0
"Balgowan Drive, 7",Planning Consent,Private,Private,1,0,0,0,0
"South Tay Street, 28, Ground & Basement",Site Complete,Rd Developments Ltd,Private,2,0,0,0,0
"Coupar Angus Road, 40, Site Of Former Hotel",Under Construction,Redwood Birkhill Limited,RSL,18,18,0,0,0
"Perth Road, 329, Fernbrae Hospital",Planning Consent,S1 West Ltd,Private,22,0,10,12,0
"Balgillo Road, 157, Land South",Planning Consent,Private,Private,1,0,0,0,0
Tranent Grove,Planning Consent,Discovery Homes Ltd,Private,17,0,17,0,0
"Brownhill Place, Brownhill Street. Site 7",Under Construction,Blackwood Homes & Care,RSL,12,12,0,0,0
Land At Former Tay Rope Works Magdalen Yard Road,Under Construction,F & H Developments,Private,9,9,0,0,0
Land To East Of 247 Blackness Road,Planning Consent,Dundee City Council,RSL,24,0,12,12,0
Site Of Former Factory Ballindean Road,Under Construction,Cullross Ltd/Caledonia Ha/Boc Ltd,Mixed,67,55,12,0,0
"Nicoll Street, 6",Planning Consent,Private,Private,10,0,10,0,0
Site Of Former James Keiller Buildings 32 - 34 Mains Loan,Under Construction,Barratt North Scotland/Marketgait Developments,Private,223,52,52,52,40
"Burnside Street, 55",Planning Consent,Hillcrest Ha,RSL,54,0,0,54,0
Land At Former Rosebank Primary School,Under Construction,Discovery Homes Ltd,TBC,40,16,16,0,0
"Forthill Road, 10",Planning Consent,Private,Private,1,0,0,0,0
"Buchanan Street, Electric Sub-Station",Site Complete,Private,TBC,14,0,0,14,0
"Ellislea Road, 9, Garden Ground",Under Construction,Private,Private,1,0,0,0,0
"Guthrie Street, 9",Planning Consent,Private,Private,18,0,0,18,0
"Camphill Road, 65, Land To South",Planning Consent,Private,Private,1,0,0,0,0
"Lauderdale Avenue, 88, Garden Ground To South",Planning Consent,Private,Private,1,0,0,0,0
"Elliot Road, Mains Of Balgay",Planning Consent,Private,Private,5,0,0,5,0
"Hilltown, 114, Mosque",Planning Consent,Private,Private,5,0,0,5,0
"Candle Lane, 9-11",Under Construction,Hillcrest Ha,RSL,24,24,0,0,0
"Candle Lane, 3-7",Planning Consent,Murrayfield Properties Ltd,Private,8,0,0,8,0
"Lochee Road, 142A",Under Construction,Private,Private,1,0,0,0,0
"Dykes Of Gray Road, South Of Mains Of Gray Farm",Planning Consent,Private,Private,1,0,0,0,0
Central Waterfront - Site 6 *,Under Construction,Dundee City Council,Private,99,0,0,0,50
"Summerfield Avenue At Summerfield Gardens, Land To West",Under Construction,Invertay Homes,Private,34,0,15,19,0
"Summerfield Avenue At Summerfield Gardens, Land To West",Under Construction,Invertay Homes,Private,8,8,0,0,0
"Donalds Lane, Site Of Former 6",Planning Consent,H & H Properties Ltd,Private,4,0,4,0,0
"High Street, Lochee, Site Of Weavers Village",Consent Expired,Hillcrest Ha,RSL,14,0,0,0,0
"Bell Street, 86, Unit 1, India Buildings",Planning Consent,Private,Private,1,0,0,0,0
"Bell Street, 46 & 50",Planning Consent,Private,Private,1,0,0,0,0
"Bell Street, 86, Unit 2, India Buildings",Planning Consent,Pavillion Properties Ltd,Private,1,0,0,0,0
"Perth Road, 381, Garden Ground To East",Planning Consent,Private,Private,1,0,0,0,0
"Nethergate, 32",Planning Consent,Private,Private,2,0,0,0,0
"Bell Street, 86, India Buildings, 2, Upper Ground Floor",Planning Consent,Pavillion Properties Ltd,Private,1,0,0,0,0
"Bell Street, 86, India Buildings, 2, Lower Ground Floor",Planning Consent,Pavillion Properties Ltd,Private,1,0,0,0,0
"Dickson Avenue, The Rock",Planning Consent,Rock Developments (Scotland) Ltd,Private,16,0,8,8,0
"Nethergate, 172, Caird Rest",Planning Consent,Private,Private,5,0,5,0,0
"Dundee Road, 69, Woodcroft",Planning Consent,Private,Private,1,0,0,0,0
"Kinghorne Road, 119A, The High Kirk",Planning Consent,David Gray  Construction Ltd,Private,8,0,8,0,0
"Bell Street, 86, Ug Floor, India Buildings",Planning Consent,Pavillion Properties Ltd,Private,1,0,0,0,0
"Cleghorn Street, 25A",Planning Consent,Private,Private,1,0,0,0,0
"Strathern Road, 32, Garden Ground",Under Construction,Private,Private,1,0,0,0,0
"Shepherds Loan, Land South Of Stephens Yard",Planning Consent,Private,Private,2,0,0,0,0
"Broughty Ferry Road, 208",Planning Consent,Private,Private,2,0,0,0,0
"Daniel Terrace, 2",Planning Consent,Private,Private,2,0,0,0,0
"Kingsway, 74, Garden Ground",Planning Consent,Private,Private,1,0,0,0,0
"Gotterstone Drive, 61",Planning Consent,Private,Private,1,0,0,0,0
"Whitfield Drive, South, Site Of Whitfield Primary School",Planning Consent,Angus Ha,Housing Association,18,0,0,18,0
"Whitfield Drive, North, Site Of Whitfield Primary School",Planning Consent,George Martin,Private,30,0,0,0,15
"Burnside Street, 6-10, Site Of",Under Construction,Private,Private,2,0,0,0,0
"Whitehall Crescent, 3",Planning Consent,Joup Property Ltd,Private,14,14,0,0,0
"Esplanade, Former Jacques Nightclub",Site Complete,Gl Residential,Private,11,0,0,0,0
"Claverhouse Old Road, Land To East Of 1",Site Complete,Riverview Construction Ltd,Private,4,0,0,0,0
"Raglan Street, 5",Site Complete,Jf Kegs,RSL,16,0,0,0,0
"Strathmartine Road, 347-349",Site Complete,Private,Private,1,0,0,0,0
